model,features,num_features,roc_auc,f1,accuracy,precision,recall
Logistic Regression,"absNetRatingDiff,b2bDiff,close_b2b,netRatingDiff,offRatingDiff,restDiff",6,0.6958422852005567,0.7293276822072634,0.6526607657033167,0.6605449345175373,0.814100185528757
Logistic Regression,"b2bDiff,closeGame,defRatingDiff,netRatingDiff,restDiff",5,0.6958407495976023,0.7285405943881786,0.6512743947957769,0.6592548076923077,0.814100185528757
Logistic Regression,"b2bDiff,closeGame,defRatingDiff,offRatingDiff,restDiff",5,0.6958376318582703,0.7286010792860108,0.6513810387117415,0.6593538692712246,0.814100185528757
Logistic Regression,"b2bDiff,defRatingDiff,netRatingDiff,restDiff",4,0.6958369338569274,0.7281198003327787,0.6514876826277061,0.6600301659125188,0.811873840445269
Logistic Regression,"b2bDiff,closeGame,defRatingDiff,netRatingDiff,offRatingDiff,restDiff",6,0.6958367942566589,0.7286461359674608,0.6513810387117415,0.6593059936908517,0.8142857142857143
Logistic Regression,"b2bDiff,defRatingDiff,netRatingDiff,netRating_b2b,restDiff",5,0.6958367942566588,0.7281803810633164,0.6515943265436707,0.6601297329914014,0.811873840445269
Logistic Regression,"absNetRatingDiff,b2bDiff,closeGame,close_b2b,defRatingDiff,offRatingDiff",6,0.69583600318847,0.7289517470881863,0.6525541217873521,0.6607843137254902,0.8128014842300556
Logistic Regression,"b2bDiff,netRatingDiff,netRating_b2b,offRatingDiff,restDiff",5,0.6958352121202815,0.7281198003327787,0.6514876826277061,0.6600301659125188,0.811873840445269
Logistic Regression,"b2bDiff,closeGame,defRatingDiff,netRatingDiff,netRating_b2b,offRatingDiff,restDiff",7,0.695834653719207,0.728495516439721,0.6512743947957769,0.659302675082657,0.8139146567717996
Logistic Regression,"b2bDiff,defRatingDiff,netRating_b2b,offRatingDiff,restDiff",5,0.6958344675855157,0.7280592296813909,0.6513810387117415,0.6599306288644247,0.811873840445269
Logistic Regression,"b2bDiff,defRatingDiff,offRatingDiff,restDiff",4,0.695834327985247,0.7281198003327787,0.6514876826277061,0.6600301659125188,0.811873840445269
Logistic Regression,"b2bDiff,closeGame,netRatingDiff,offRatingDiff,restDiff",5,0.6958342814518241,0.7286461359674608,0.6513810387117415,0.6593059936908517,0.8142857142857143
Logistic Regression,"b2bDiff,defRatingDiff,netRatingDiff,netRating_b2b,offRatingDiff,restDiff",6,0.6958342349184015,0.7281803810633164,0.6515943265436707,0.6601297329914014,0.811873840445269
Logistic Regression,"absNetRatingDiff,b2bDiff,closeGame,close_b2b,defRatingDiff,netRatingDiff,netRating_b2b,offRatingDiff,restDiff",9,0.6958342349184014,0.7286344345510527,0.6522341900394583,0.6606307529802323,0.8122448979591836
Logistic Regression,"b2bDiff,defRatingDiff,netRatingDiff,offRatingDiff,restDiff",5,0.6958342349184014,0.7281198003327787,0.6514876826277061,0.6600301659125188,0.811873840445269
Logistic Regression,"absNetRatingDiff,b2bDiff,closeGame,close_b2b,defRatingDiff,netRatingDiff,netRating_b2b,offRatingDiff",8,0.6958341418515557,0.7286950732356857,0.6523408339554229,0.6607304557802596,0.8122448979591836
Logistic Regression,"b2bDiff,netRatingDiff,offRatingDiff,restDiff",4,0.6958339091844412,0.7281803810633164,0.6515943265436707,0.6601297329914014,0.811873840445269
